src,relation,Target,is_b,id(is_b)
188902670053,VIU,SFLL188953,IS_BUILDING,129029
188902660053,VIU,SFLL188953,IS_BUILDING,129029
188902730054,VIU,SFLL188954,IS_BUILDING,129030
188902720054,VIU,SFLL188954,IS_BUILDING,129030
188902710054,VIU,SFLL188954,IS_BUILDING,129030
188902700054,VIU,SFLL188954,IS_BUILDING,129030
188902780055,VIU,SFLL188955,IS_BUILDING,129032
188902770055,VIU,SFLL188955,IS_BUILDING,129032
188902760055,VIU,SFLL188955,IS_BUILDING,129032
188902750055,VIU,SFLL188955,IS_BUILDING,129032
188902740055,VIU,SFLL188955,IS_BUILDING,129032
188902800056,VIU,SFLL188956,IS_BUILDING,129034
188902790056,VIU,SFLL188956,IS_BUILDING,129034
188902840057,VIU,SFLL188957,IS_BUILDING,129036
188902830057,VIU,SFLL188957,IS_BUILDING,129036
188902820057,VIU,SFLL188957,IS_BUILDING,129036
188902810057,VIU,SFLL188957,IS_BUILDING,129036
188902860058,VIU,SFLL188958,IS_BUILDING,129037
188902850058,VIU,SFLL188958,IS_BUILDING,129037
188902880059,VIU,SFLL188959,IS_BUILDING,128660
188902870059,VIU,SFLL188959,IS_BUILDING,128660
188902930060,VIU,SFLL188960,IS_BUILDING,128662
188902920060,VIU,SFLL188960,IS_BUILDING,128662
188902910060,VIU,SFLL188960,IS_BUILDING,128662
188902900060,VIU,SFLL188960,IS_BUILDING,128662
188902890060,VIU,SFLL188960,IS_BUILDING,128662
188903000061,VIU,SFLL188961,IS_BUILDING,128663
188902990061,VIU,SFLL188961,IS_BUILDING,128663
188902980061,VIU,SFLL188961,IS_BUILDING,128663
188902970061,VIU,SFLL188961,IS_BUILDING,128663
188902960061,VIU,SFLL188961,IS_BUILDING,128663
188902950061,VIU,SFLL188961,IS_BUILDING,128663
188902940061,VIU,SFLL188961,IS_BUILDING,128663
188903100062,VIU,SFLL188962,IS_BUILDING,129040
188903090062,VIU,SFLL188962,IS_BUILDING,129040
188903080062,VIU,SFLL188962,IS_BUILDING,129040
188903070062,VIU,SFLL188962,IS_BUILDING,129040
188903060062,VIU,SFLL188962,IS_BUILDING,129040
188903050062,VIU,SFLL188962,IS_BUILDING,129040
188903040062,VIU,SFLL188962,IS_BUILDING,129040
188903030062,VIU,SFLL188962,IS_BUILDING,129040
188903020062,VIU,SFLL188962,IS_BUILDING,129040
188903010062,VIU,SFLL188962,IS_BUILDING,129040
188903130063,VIU,SFLL188963,IS_BUILDING,129041
188903120063,VIU,SFLL188963,IS_BUILDING,129041
188903110063,VIU,SFLL188963,IS_BUILDING,129041
188903180064,VIU,SFLL188964,IS_BUILDING,129263
188903170064,VIU,SFLL188964,IS_BUILDING,129263
188903160064,VIU,SFLL188964,IS_BUILDING,129263
188903150064,VIU,SFLL188964,IS_BUILDING,129263
188903140064,VIU,SFLL188964,IS_BUILDING,129263
